Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,No. of Exchanges
"=HYPERLINK(""https://www.coingecko.com/en/coins/ferrum-network"",""Ferrum Network"")",frm,98.25,0.85,12.54,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/smartlands-network"",""Smartlands Network"")",slt,85.95,16.84,12.25,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dfohub"",""dfohub"")",buidl,84.53,26.54,14.47,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/helmet-insure"",""Helmet Insure"")",helmet,80.28,2.57,10.14,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/unit-protocol-new"",""Unit Protocol New"")",duck,77.74,0.37,19.13,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/phantasma"",""Phantasma"")",soul,76.65,0.77,11.69,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/morpheus-labs"",""Morpheus Labs"")",mitx,70.47,0.16,18.66,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/mcdex"",""MCDEX"")",mcb,66.31,30.82,11.82,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/wault-finance"",""Wault Finance"")",wault,62.3,82.03,14.48,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/unilayer"",""UniLayer"")",layer,61.28,3.05,18.45,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/interest-bearing-dpi"",""Interest Bearing DPI"")",bdpi,59.99,464.95,11.19,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/sentivate"",""Sentivate"")",sntvt,59.47,0.02,16.41,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/plasma-finance"",""Plasma Finance"")",ppay,54.43,0.36,16.19,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/hydradx"",""HydraDX"")",xhdx,50.52,0.12,16.89,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/hermez-network"",""Hermez Network"")",hez,48.72,6.51,12.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/dea"",""DEA"")",dea,42.59,414.35,19.68,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/slink"",""sLINK"")",slink,42.0,33.7,12.81,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-usd"",""mStable USD"")",musd,40.95,1.02,15.7,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/popsicle-finance"",""Popsicle Finance"")",ice,39.23,8.02,16.28,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/stasis-euro"",""STASIS EURO"")",eurs,38.76,1.21,10.37,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/exnetwork-token"",""ExNetwork Token"")",exnt,36.6,0.58,14.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-amazon"",""Mirrored Amazon"")",mamzn,33.5,3449.71,16.3,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-netflix"",""Mirrored Netflix"")",mnflx,32.7,559.77,19.17,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-invesco-qqq-trust"",""Mirrored Invesco QQQ Trust"")",mqqq,31.97,343.43,16.75,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-twitter"",""Mirrored Twitter"")",mtwtr,31.97,71.82,11.39,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-microsoft"",""Mirrored Microsoft"")",mmsft,31.33,260.82,16.67,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/coin"",""Coin"")",coin,29.6,0.36,11.07,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/axel"",""AXEL"")",axel,28.5,0.3,14.16,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-united-states-oil-fund"",""Mirrored United States Oil Fund"")",muso,28.34,41.87,10.88,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/bitberry-token"",""Bitberry Token"")",bbr,28.09,12.14,19.44,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/upbots"",""UpBots"")",ubxt,27.73,0.08,10.16,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/polyswarm"",""PolySwarm"")",nct,23.94,0.02,18.33,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/seur"",""sEUR"")",seur,23.08,1.21,12.95,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/deus-finance"",""DEUS Finance"")",deus,23.06,9.73,10.49,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/open-governance-token"",""OPEN Governance Token"")",open,21.02,2.65,18.96,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/meter-governance"",""Meter Governance"")",mtrg,20.68,7.19,17.55,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dracula-token"",""Dracula Token"")",drc,17.29,1.14,17.39,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/xaya"",""XAYA"")",chi,16.34,0.3,16.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/tera"",""TERA"")",tera,15.77,0.02,13.87,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/sureremit"",""SureRemit"")",rmt,14.42,0.02,16.8,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/defidollar"",""DefiDollar"")",dusd,14.03,1.01,18.55,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dust-token"",""DUST Token"")",dust,13.78,0.06,19.15,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-btc"",""mStable BTC"")",mbtc,13.44,53794.0,17.32,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/likecoin"",""LikeCoin"")",like,13.23,0.01,10.83,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/ideaology"",""Ideaology"")",idea,12.67,0.63,15.44,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/plair"",""Plair"")",pla,12.12,0.0,17.43,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/katalyo"",""Katalyo"")",ktlyo,11.88,0.91,13.31,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/aspire"",""Aspire"")",asp,11.56,0.1,14.9,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/euler-tools"",""Euler Tools"")",euler,11.41,0.16,11.67,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/bountymarketcap"",""BountyMarketCap"")",bmc,10.15,0.1,10.32,0
