Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,exchange_count
CyberFi,cfi,98.85,65.72,13.37,1
Bounce,auction,92.01,40.02,11.69,3
pNetwork,pnt,89.24,2.34,15.52,6
DuckDaoDime,ddim,86.66,83.91,18.74,1
DSLA Protocol,dsla,84.16,0.01,13.95,3
Ferrum Network,frm,84.06,0.73,17.17,2
Mossland,moc,83.22,0.3,16.01,0
Meme,meme,81.48,3194.39,19.63,1
MobieCoin,mbx,80.42,0.04,18.57,0
Hxro,hxro,79.46,0.32,11.8,1
ankrETH,aeth,74.49,1730.23,16.24,1
Etherisc DIP Token,dip,69.87,0.37,18.53,1
VIDT Datalink,vidt,68.49,1.48,11.38,5
COCOS BCX,cocos,65.37,1.54,17.2,2
Ovr,ovr,64.18,2.7,15.09,1
DLP Duck Token,duck,64.08,1.88,19.31,1
Shroom.Finance,shroom,57.94,1.15,10.85,1
InsurAce,insur,56.68,9.38,11.01,1
HydraDX,xhdx,50.52,0.12,16.89,0
HUNT,hunt,49.96,0.46,15.61,1
Helmet Insure,helmet,49.93,1.66,17.82,0
KickPad,kpad,49.12,3.01,16.16,0
Troy,troy,46.34,0.02,11.85,3
Bonfida,fida,44.92,1.76,12.87,0
AntiMatter,matter,44.62,4.42,17.07,1
Wault Finance,wault,44.18,58.98,13.72,0
Hermez Network,hez,43.95,6.21,16.08,1
Bifrost,bfc,43.26,0.09,15.81,1
EasyFi,easy,41.91,25.78,10.27,5
Tixl,txl,41.86,0.65,19.92,1
Cream ETH 2,creth2,40.41,1609.73,14.8,0
mStable USD,musd,39,1,17.54,1
MCDEX,mcb,38.13,18.16,11.59,1
STASIS EURO,eurs,38.06,1.19,11.85,4
Opacity,opct,34.91,0.31,19.78,3
BaaSid,baas,33.58,0.01,14.85,0
Mirrored Google,mgoogl,30.74,2089.68,16.82,1
AXEL,axel,28.08,0.29,15.16,0
Blank,blank,28.02,1.76,17.76,1
CargoX,cxo,27.44,0.17,19.81,3
sEUR,seur,26.91,1.19,14.39,0
Mirrored United States Oil Fund,muso,26.1,41.84,10.94,1
GraphLinq Protocol,glq,25.96,0.08,10.76,1
YfDAI.finance,yf-dai,24.86,6104.39,16.12,1
Sport and Leisure,snl,24.44,0.1,19.27,0
DEUS Finance,deus,24.21,9.23,14.06,1
Coin,coin,23.68,0.34,16.23,1
Falconswap,fsw,23.22,0.61,15.3,1
CSP DAO Network,nebo,20.63,19.13,13.98,1
Airbloc,abl,19.7,0.07,15.63,0
